Companies,Websites,Solutions,Place of Registration,Ownership 
Motec,,"Strategical Monitoring, Tactical Surveillance",MYS,N/A
DigiVox B.V.,,"Lawful Interception, Tactical GSM Interception",NLD,N/A
Fox-IT,,"Lawful Interception, Interception Analytics",NLD,N/A
GROUP2000,,"Lawful Interception, Deep Packet Inspection (DPI)",NLD,N/A
Tinex,,"Lawful Interception, Tactical Interception",NOR,N/A
ENDACE accelerated,,"Traffic Data Processing, Monitoring",NZL,LSE: EDA.L 
Audio Video Intelligence Corporation,,Tactical Audio/Video/GSM Interception,PHL,N/A
Macro System,,"Lawful Interception, Telecommunication Surveillance",POL,N/A
"Speech Technology Center, Ltd.",,Audio Forensics,RUS,N/A
ISKRATEL,,"Lawful Interception, SORM",SVN,N/A
Ericsson,,"Ericsson surveillance suite Monitoring, Lawful Interception",SWE,N/A
Micro Systemation AB,,Cell Phone Forensics,SWE,N/A
C Tech Bilişim Teknolojileri San. ve Tic. AS.,,"Lawful Interception, Monitoring, Deep Packet Inspection (DPI)",TUR,N/A
Tamara Electronic Ltd. Sti,,Passive Monitoring,TUR,N/A
Altron,,"Lawful Interception, Monitoring, Recording",UKR,N/A
Delta SPE,,Collection & Processing of Packet Data Satellite Services,UKR,N/A
ACCESSDATA,,"Digital Investigation, Forensics, Decryption ",USA,N/A
ACME Packet,,"SBCS, MSGs, SRPs, Lawful interception of VoIP",USA,NASDAQ:APKT 
BlueCoat,,"Intelligence Centers, Deep Packet Inspection (DPI), Internet Filtering ",USA,NASDAQ: BCSI 
BRIGHTPLANET,,Social Network Intelligence,USA,N/A
CommuniGate Systems,,Lawful Interception ,USA,N/A
Comverse,,Lawful Interception,USA,ISR
Cyberoam,,Deep Packet Inspection (DPI),USA,N/A
Dialogic,,SMS Monitoring,USA,N/A
Gigamon,,Gigabit Internet Monitoring,USA,N/A
Glimmerglass,,Monitoring of optical signals and networks,USA,Private 
Guidance Software,,"Encase Intelligence Software, Forensics ",USA,N/A
Harris Wireless Products Group,,Tactical Mobile Phone Interception and Tracking,USA,N/A
HSS Development,,Tactical Mobile Phone Interception and Jamming,USA,N/A
